FORMULA,Al,Co,Fe,Ni,Si,Cr,Mn,Ti,Cu,Mo,Nb,V,Zr,Sn,Ta,Hf,W,Zn,Re,Mg,Pd,YM
Al0.25 Co0.5 Cr0.5 Cu0.5 Fe0.5 Ni0.5 V1,6.66666666666667,13.3333333333333,13.3333333333333,13.3333333333333,0.0,13.3333333333333,0.0,0.0,13.3333333333333,0.0,0.0,26.6666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,171
Al1 Co1 Cr1 Cu1 Ni1 Ti1,16.6666666666667,16.6666666666667,0.0,16.6666666666667,0.0,16.6666666666667,0.0,16.6666666666667,16.6666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,157
Co1 Cu1 Fe1 Ni1,0.0,25.0,25.0,25.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,187
Co1 Cu1 Fe1 Ni1 Sn0.02,0.0,24.8756218905473,24.8756218905473,24.8756218905473,0.0,0.0,0.0,0.0,24.8756218905473,0.0,0.0,0.0,0.0,0.497512437810945,0.0,0.0,0.0,0.0,0.0,0.0,0,185
Co1 Cu1 Fe1 Mn1 Ni1,0.0,20.0,20.0,20.0,0.0,0.0,20.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,189
Al0.1 Cr0.5 Cu0.5 Fe0.5 Ni1,3.84615384615385,0.0,19.2307692307692,38.4615384615385,0.0,19.2307692307692,0.0,0.0,19.2307692307692,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,197
Al0.2 Cr0.5 Cu0.5 Fe0.5 Ni1,7.40740740740741,0.0,18.5185185185185,37.037037037037,0.0,18.5185185185185,0.0,0.0,18.5185185185185,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,190
Al0.3 Cr0.5 Cu0.5 Fe0.5 Ni1,10.7142857142857,0.0,17.8571428571429,35.7142857142857,0.0,17.8571428571429,0.0,0.0,17.8571428571429,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,185
Al0.4 Cr0.5 Cu0.5 Fe0.5 Ni1,13.7931034482759,0.0,17.2413793103448,34.4827586206897,0.0,17.2413793103448,0.0,0.0,17.2413793103448,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,179
Al1 Cu0.889 Fe0.667 Ni0.889 Ti1,22.4971878515186,0.0,15.0056242969629,20.0,0.0,0.0,0.0,22.4971878515186,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,131
Al1 Cu1 Fe1 Ni1 Ti1,20.0,0.0,20.0,20.0,0.0,0.0,0.0,20.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,137
Al1 Cu1 Ni1 Ti1,25.0,0.0,0.0,25.0,0.0,0.0,0.0,25.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,122
Al0.214 Nb0.714 Ta0.571 Ti1 V0.143 Zr0.929,5.99271912629516,0.0,0.0,0.0,0.0,0.0,0.0,28.0033604032484,0.0,0.0,19.9943993279194,4.00448053766452,26.0151218146178,0.0,15.9899187902548,0.0,0.0,0.0,0.0,0.0,0,107
Al0.214 Nb0.714 Ta0.714 Ti1 Zr0.929,5.99271912629516,0.0,0.0,0.0,0.0,0.0,0.0,28.0033604032484,0.0,0.0,19.9943993279194,0.0,26.0151218146178,0.0,19.9943993279194,0.0,0.0,0.0,0.0,0.0,0,110
Al0.333 Nb0.667 Ta0.533 Ti1 V0.133 Zr0.667,9.99099909990999,0.0,0.0,0.0,0.0,0.0,0.0,30.00300030003,0.0,0.0,20.01200120012,3.99039903990399,20.01200120012,0.0,15.991599159916,0.0,0.0,0.0,0.0,0.0,0,109
Al0.667 Nb1 Ta0.333 Ti1 Zr0.333,20.01200120012,0.0,0.0,0.0,0.0,0.0,0.0,30.00300030003,0.0,0.0,30.00300030003,0.0,9.99099909990999,0.0,9.99099909990999,0.0,0.0,0.0,0.0,0.0,0,105
Al0.3 Hf1 Nb1 Ta1 Ti1 Zr1,5.66037735849057,0.0,0.0,0.0,0.0,0.0,0.0,18.8679245283019,0.0,0.0,18.8679245283019,0.0,18.8679245283019,0.0,18.8679245283019,18.8679245283019,0.0,0.0,0.0,0.0,0,105
Al0.75 Hf1 Nb1 Ta1 Ti1 Zr1,13.0434782608696,0.0,0.0,0.0,0.0,0.0,0.0,17.3913043478261,0.0,0.0,17.3913043478261,0.0,17.3913043478261,0.0,17.3913043478261,17.3913043478261,0.0,0.0,0.0,0.0,0,103
Hf1 Nb1 Ta1 Ti1 Zr1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,20.0,0.0,20.0,0.0,20.0,20.0,0.0,0.0,0.0,0.0,0,107
Al0.25 Mo1 Nb1 Ti1 V1,5.88235294117647,0.0,0.0,0.0,0.0,0.0,0.0,23.5294117647059,0.0,23.5294117647059,23.5294117647059,23.5294117647059,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,161
Al0.75 Mo1 Nb1 Ti1 V1,15.7894736842105,0.0,0.0,0.0,0.0,0.0,0.0,21.0526315789474,0.0,21.0526315789474,21.0526315789474,21.0526315789474,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,151
Al1 Mo1 Nb1 Ti1 V1,20.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,20.0,20.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,147
Mo1 Nb1 Ti1 V1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,25.0,25.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,167
Al0.5 Nb1 Ta1 Ti1 V1,11.1111111111111,0.0,0.0,0.0,0.0,0.0,0.0,22.2222222222222,0.0,0.0,22.2222222222222,22.2222222222222,0.0,0.0,22.2222222222222,0.0,0.0,0.0,0.0,0.0,0,127
Al1 Nb1 Ta1 Ti1 V1,20.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,20.0,20.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0,122
Nb1 Ta1 Ti1 V1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,25.0,25.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0,134
Al1 Nb1 Ti1 V1,25.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,25.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,104
Nb0.5 Ti0.5 V1 Zr0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,20.0,40.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,105
Nb1 Ti1 V1 Zr1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,25.0,25.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,100
Hf0.5 Mo0.5 Nb1 Ti1 Zr1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,12.5,25.0,0.0,25.0,0.0,0.0,12.5,0.0,0.0,0.0,0.0,0,115
Hf1 Mo0.25 Nb1 Ta1 Ti1 Zr1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0476190476191,0.0,4.76190476190476,19.0476190476191,0.0,19.0476190476191,0.0,19.0476190476191,19.0476190476191,0.0,0.0,0.0,0.0,0,115
Hf1 Mo0.5 Nb1 Ta1 Ti1 Zr1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.1818181818182,0.0,9.09090909090909,18.1818181818182,0.0,18.1818181818182,0.0,18.1818181818182,18.1818181818182,0.0,0.0,0.0,0.0,0,123
Hf1 Mo0.75 Nb1 Ta1 Ti1 Zr1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.3913043478261,0.0,13.0434782608696,17.3913043478261,0.0,17.3913043478261,0.0,17.3913043478261,17.3913043478261,0.0,0.0,0.0,0.0,0,130
